DZCode,DZName,TotPop2022,area_hectares,area_km2
S01013869,Banchory West - 02,516,17.7,0.177072
S01013870,Banchory West - 03,658,80.72,0.807174
S01013871,Banchory West - 04,1083,77.42,0.774308
S01013872,Crathes and Torphins - 01,555,117.64,1.176362
S01013873,Crathes and Torphins - 02,760,85.78,0.857796
S01013874,Crathes and Torphins - 03,603,2621.38,26.213803
S01013875,Crathes and Torphins - 04,1054,6184.29,61.842809
S01013876,Crathes and Torphins - 05,817,4698.17,46.981752
S01013877,Cromar and Kildrummy - 01,714,51.16,0.51158
S01013878,Cromar and Kildrummy - 02,968,3792.36,37.9236
S01013879,Cromar and Kildrummy - 03,1089,11091.26,110.912657
S01013880,Cromar and Kildrummy - 04,684,13023.73,130.237378
S01013881,Cromar and Kildrummy - 05,635,7443.07,74.430806
S01013882,Howe of Alford - 01,733,1474.62,14.746313
S01013883,Howe of Alford - 02,567,3686.23,36.862436
S01013884,Howe of Alford - 03,659,22.48,0.224805
S01013885,Howe of Alford - 04,562,27.81,0.27812
S01013886,Howe of Alford - 05,800,41.11,0.411104
S01013887,Howe of Alford - 06,1024,6193.86,61.938589
S01013888,Howe of Alford - 07,771,27.97,0.279813
S01013889,Howe of Alford - 08,519,2734.04,27.340466
S01013890,Howe of Alford - 09,774,5020.07,50.200746
S01013891,Kemnay - 01,747,38.57,0.385717
S01013892,Kemnay - 02,802,29.94,0.299415
S01013893,Kemnay - 03,1067,59.5,0.594936
S01013894,Kemnay - 04,720,21.28,0.212788
S01013895,Kemnay - 05,537,26.63,0.266393
S01013896,Inverurie North - 01,902,27.27,0.272671
S01013897,Inverurie North - 02,579,25.23,0.252254
S01013898,Inverurie North - 03,764,33.83,0.338336
S01013899,Inverurie North - 04,640,14.83,0.14822
S01013900,Inverurie North - 05,729,39.49,0.394871
S01013901,Inverurie North - 06,548,13.72,0.137263
S01013902,Inverurie North - 07,455,12.86,0.128724
S01013903,Inverurie North - 08,546,18.66,0.186666
S01013904,Inverurie South - 01,606,17.37,0.173722
S01013905,Inverurie South - 02,847,142.74,1.427379
S01013906,Inverurie South - 03,881,56.65,0.566422
S01013907,Inverurie South - 04,604,20.33,0.20344
S01013908,Inverurie South - 05,764,22.97,0.229749
S01013909,Inverurie South - 06,688,59.36,0.593743
S01013910,Inverurie South - 07,768,14.81,0.148212
S01013911,Inverurie - Harlaw - 01,530,3606.02,36.060287
S01013912,Inverurie - Harlaw - 02,955,40.34,0.403466
S01013913,Inverurie - Harlaw - 03,1113,80.82,0.808182
S01013914,Inverurie - Harlaw - 04,586,31.21,0.312072
S01013915,Inverurie - Harlaw - 05,787,29.03,0.290343
S01013916,Inverurie - Harlaw - 06,625,15.96,0.1596
S01013917,Inverurie - Harlaw - 07,718,26.12,0.261149
S01013918,Durno and Chapel of Garioch - 01,544,2035.41,20.354095
S01013919,Durno and Chapel of Garioch - 02,552,2185.79,21.857865
S01013920,Durno and Chapel of Garioch - 03,862,2911.13,29.111266
S01013921,Durno and Chapel of Garioch - 04,810,2009.17,20.091661
S01013922,Kintore - 01,912,135.17,1.351689
S01013923,Kintore - 02,1029,31.04,0.310336
S01013924,Kintore - 03,483,18.98,0.18975
S01013925,Kintore - 04,422,17.74,0.177393
S01013926,Kintore - 05,801,15.4,0.15404
S01013927,Kintore - 06,626,2501.57,25.015645
S01013928,Kintore - 07,903,35.24,0.352314
S01013929,Kintore - 08,815,4689.23,46.89233
S01013930,Blackburn - 01,411,10.94,0.109421
S01013931,Blackburn - 02,745,23.2,0.232035
S01013932,Blackburn - 03,529,10.04,0.100411
S01013933,Blackburn - 04,600,9.48,0.094749
S01013934,Blackburn - 05,704,40.16,0.40172
S01013935,Blackburn - 06,414,1513.65,15.136518
S01013936,Westhill North and South - 01,789,63.75,0.637551
S01013937,Westhill North and South - 02,819,30.69,0.306963
S01013938,Westhill North and South - 03,592,2921.82,29.218131
S01013939,Westhill North and South - 04,860,27.29,0.272923
